ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,gaji_min,gaji_max,jumlah_ms,rasio_formasi_ms,persen_kelulusan
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,1,2785700,9024448,9,1:9,11.11111111111111
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tenggara,1,2785700,9024448,2,1:2,50.0
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Selatan,1,2785700,9024448,18,1:18,5.555555555555555
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,1,2785700,9024448,3,1:3,33.33333333333333
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,2785700,9024448,7,1:7,14.28571428571428
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,2785700,9024448,8,1:8,12.5
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,1,2785700,9024448,11,1:11,9.090909090909092
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,1,2785700,9024448,5,1:5,20.0
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Lampung,1,2785700,9024448,9,1:9,11.11111111111111
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,PUTRA/PUTRI KALIMANTAN,PRANATA KOMPUTER AHLI PERTAMA,BKKBN Pusat,1,2785700,9024448,4,1:4,25.0
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,BKKBN Pusat,1,2785700,9024448,22,1:22,4.545454545454546
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,1,2785700,9024448,8,1:8,12.5
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi Bengkulu,1,2785700,9024448,10,1:10,10.0
Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,1,2785700,9024448,41,1:41,2.439024390243902
Badan Pangan Nasional,CPNS,PENYANDANG DISABILITAS,PRANATA KOMPUTER AHLI PERTAMA,Badan Pangan Nasional | PUSAT DATA DAN INFORMASI PANGAN,2,3000000,7000000,2,1:1,100.0
Badan Pangan Nasional,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Badan Pangan Nasional | PUSAT DATA DAN INFORMASI PANGAN,7,3000000,7000000,181,1:26,3.867403314917127
Badan Pelindungan Pekerja Migran Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,1,6862100,7206358,1,1:1,100.0
Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,4,6862100,7206358,10,1:2,40.0
Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,6862100,7746358,3,1:3,33.33333333333333
