ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,gaji_min,gaji_max,jumlah_ms,rasio_formasi_ms,persen_kelulusan
Kementerian Energi dan Sumber Daya Mineral,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL | Badan Pengembangan Sumber Daya Manusia Energi dan Sumber Daya Mineral | Pusat Pengembangan Sumber Daya Manusia Minyak dan Gas Bumi,4,8300000,8900000,88,1:22,4.545454545454546
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja | Balai Besar Keselamatan dan Kesehatan Kerja Jakarta | Bagian Umum,4,6000000,7500000,142,1:36,2.816901408450704
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja | Balai Perluasan Kesempatan Kerja Bekasi | Kepala Subbagian Umum,2,6000000,7500000,8,1:4,25.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Besar Pelatihan Vokasi dan Produktivitas Bandung | Bagian Umum,1,6000000,7500000,21,1:21,4.761904761904762
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Padang | Subbagian Umum,1,6000000,7500000,2,1:2,50.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Sekretariat Jenderal | Pusat Pasar Kerja | Bagian Tata Usaha,2,6000000,7500000,8,1:4,25.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Pangkajene dan Kepulauan | Subbagian Umum,1,6000000,7500000,10,1:10,10.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Samarinda | Subbagian Umum,1,6000000,7500000,4,1:4,25.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Besar Pelatihan Vokasi dan Produktivitas Medan | Bagian Umum,1,6000000,7500000,2,1:2,50.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Sidoarjo | Subbagian Umum,1,6000000,7500000,20,1:20,5.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Sorong | Subbagian Umum,1,6000000,7500000,4,1:4,25.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Belitung | Subbagian Umum,1,6000000,7500000,6,1:6,16.66666666666666
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Besar Pelatihan Vokasi dan Produktivitas Makassar | Bagian Umum,1,6000000,7500000,9,1:9,11.11111111111111
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas | Balai Pelatihan Vokasi dan Produktivitas Kendari | Subbagian Umum,1,6000000,7500000,2,1:2,50.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja | Balai Besar Perluasan Kesempatan Kerja Bandung Barat | Bagian Umum,1,6000000,7500000,4,1:4,25.0
Kementerian Ketenagakerjaan,CPNS,UMUM,TEKNISI SARANA DAN PRASARANA,Kementerian Ketenagakerjaan | Direktorat Jenderal Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja | Balai Perluasan Kesempatan Kerja Kendari | Subbagian Umum,2,6000000,7500000,5,1:2,40.0
